term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,model
BMIV_CAT_W3Medium variability,1.1340998784457692,0.1171146696785782,0.1154252016470106,1.0902235894960894,0.2756146645498539,0.9044846359934551,1.4220059502481315,Categorical
BMIV_CAT_W3High variability,1.3631324817204797,0.14120084507218375,0.14146435648944408,2.1898473530685676,0.02853530919795425,1.0330548668338067,1.7986751937158842,Categorical
BASELINE_AGE,1.114035370282163,0.010982038919183715,0.010462044255550204,10.321968543182324,5.606176678224521e-25,1.0914244323403732,1.1371147369116916,Categorical
RAGENDERFemale,0.8480256511185578,0.10182512391757866,0.1021877589953615,-1.6131520674080324,0.1067114741830942,0.6941072982622584,1.0360754119074749,Categorical
RACE_ETH3Non-Hispanic Black,2.1064323462307963,0.12322562406580266,0.1230674522547918,6.053555766369157,1.4168299207367046e-9,1.654978323501143,2.6810364620732225,Categorical
RACE_ETH3Hispanic or Other,1.2380844679114444,0.15322117449806763,0.15471664230678706,1.3803647628426552,0.1674743638650743,0.9142294995339991,1.676661221788282,Categorical
RAEDUCGED,0.6738216670714143,0.21335376639011963,0.2175894733256356,-1.8143790963804654,0.06961938172148889,0.4398782375854476,1.032184818933449,Categorical
RAEDUCHigh school graduate,0.566211760360717,0.12499338976481185,0.12544876329075494,-4.534019474697832,5.787168971723167e-6,0.4427888789323361,0.7240375104808655,Categorical
RAEDUCCollege or above,0.44621960902613095,0.12619844846048991,0.12693405048194376,-6.357191377461535,2.054759387210067e-10,0.34793826353295676,0.5722622670402943,Categorical
LN_WEALTH,0.9624450702664659,0.008054545538060018,0.007359052413534965,-5.201523531937865,1.9766143895695634e-7,0.9486628976288979,0.9764274702799399,Categorical
CHRONIC_N,1.0238321505840988,0.04040495033791569,0.04154997228520839,0.5668499024457784,0.5708161631886911,0.9437595573270214,1.1106984447802932,Categorical
HAS_INSHas insurance,0.494664881025985,0.31193683882366263,0.3092003804679715,-2.2764356002727872,0.022819950959291846,0.269848021056614,0.9067820603698824,Categorical
EMP_STATUSUnemployed/Not in labor force,2.3678401887973393,0.3460659238803049,0.3400592976154381,2.534788000062783,0.011251539600253041,1.2158874855971424,4.611172683408525,Categorical
EMP_STATUSRetired,2.052334666569059,0.27702321420557446,0.27496895155287504,2.614760695052449,0.008928999088650457,1.1972757468139723,3.5180513718829935,Categorical
EMP_STATUSDisabled,4.021548284629493,0.46975910639705576,0.48679839428508437,2.8588158676149726,0.004252255299921513,1.5489226943538652,10.441354280984916,Categorical
SMOKESTATUSEver/Current smoker,1.0423959327675223,0.09745290987370049,0.09694218528845779,0.4283155460238625,0.6684214021170622,0.862016086445015,1.2605208855572587,Categorical
R_DEPRESYes,2.018407421113905,0.1171366391418535,0.11919064558490555,5.892314716666993,3.808229934086757e-9,1.5979146292653585,2.549553300904875,Categorical
