term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,wave,model
BMI_CV_W3,1.0316085111406266,0.014046672636746365,0.013450163237565116,2.3136704639564525,0.020685805237502613,1.0047687443278148,1.0591652320651508,W3,Unadjusted
BMI_CV_W4,1.0519787784039942,0.015643419926962922,0.014952039395351188,3.3890321014018805,7.013979877975907e-4,1.0215974021212575,1.083263669146455,W4,Unadjusted
BMI_CV_W5,1.070866051748955,0.017102255310275875,0.016678092691750756,4.105248514584221,4.038804533063446e-5,1.036427034366152,1.1064494293992593,W5,Unadjusted
BMI_CV_W6,1.0580082672061915,0.02077207930036626,0.019444620402340993,2.8999356240093874,0.0037323930726541393,1.0184454455429646,1.099107957500729,W6,Unadjusted
BMI_CV_W7,1.0616162070532624,0.023549918932947698,0.02459116988516538,2.431461001142427,0.015038067133261128,1.0116621418886276,1.114036914511948,W7,Unadjusted
BMI_CV_W8,1.0753954424912608,0.027755870508236306,0.030849084591571062,2.356259460555455,0.018460018826873648,1.012300387751757,1.142423110495314,W8,Unadjusted
BMI_CV_W9,1.0456740328789358,0.03903217481718027,0.047047053439213025,0.9492982400305441,0.342468948425445,0.9535638948890234,1.146681610847433,W9,Unadjusted
BMI_CV_W3,1.0249961563306036,0.013754426952047956,0.01273892797419536,1.9380643890906022,0.05261536739940144,0.9997210615414732,1.0509102597804243,W3,Adjusted
BASELINE_AGE,1.1136261817474131,0.011007971387643693,0.010510241625256586,10.239680976625603,1.3166981485246029e-24,1.0909204900805727,1.1368044545407034,W3,Adjusted
RAGENDERFemale,0.8549938136856701,0.10161501139177875,0.10220332223645012,-1.5328371142815693,0.1253159934848754,0.6997893791025294,1.0446206291074074,W3,Adjusted
RACE_ETH3Non-Hispanic Black,2.1031074515176265,0.12321528612193212,0.12310537147293368,6.03885907591033,1.5520771861812545e-9,1.6522432258778417,2.6770035327449935,W3,Adjusted
RACE_ETH3Hispanic or Other,1.2408300576391247,0.1533172450070084,0.15476704770736235,1.3942280361753407,0.16324875424861487,0.9161663898370559,1.6805454216832258,W3,Adjusted
RAEDUCGED,0.6737351299214824,0.21338560735022163,0.21817735982488873,-1.810078863989008,0.07028355814599642,0.43931525841988284,1.033242111651119,W3,Adjusted
RAEDUCHigh school graduate,0.5667906343583298,0.12504016625525194,0.1255882058408984,-4.520848842576975,6.1592157539998564e-6,0.4431204475110935,0.7249758502472973,W3,Adjusted
RAEDUCCollege or above,0.4483742530875172,0.12625702814603768,0.12693586161154088,-6.319152040790427,2.6300242344455295e-10,0.34961709905472,0.5750275698052271,W3,Adjusted
LN_WEALTH,0.9620865641547419,0.008039632062370886,0.0073431928812653265,-5.263493613858019,1.4134341960996455e-7,0.9483390031272037,0.9760334161885371,W3,Adjusted
CHRONIC_N,1.0252373047219745,0.04040763619885002,0.04169364019139121,0.5977914732800208,0.5499790808116526,0.9447887413918045,1.1125360463601062,W3,Adjusted
HAS_INSHas insurance,0.4968177358068884,0.3129009304988405,0.30965312511666143,-2.2590827999626115,0.023878234847762803,0.2707820509172902,0.9115370157517428,W3,Adjusted
EMP_STATUSUnemployed/Not in labor force,2.3404646748236697,0.34615423004873214,0.34052237141808245,2.4971912567701926,0.012518142026263624,1.2007398455012865,4.561999765911488,W3,Adjusted
EMP_STATUSRetired,2.0510469834128497,0.276934998274181,0.2753227657525748,2.6091209146031384,0.009077516083609667,1.1956950898070775,3.518283017157582,W3,Adjusted
EMP_STATUSDisabled,3.9928539209402323,0.4699614215503632,0.48909973974896037,2.8307237381396617,0.004644281611838207,1.530949863929774,10.413719488529965,W3,Adjusted
SMOKESTATUSEver/Current smoker,1.0467827708837159,0.09740131289503776,0.09708782071871257,0.47092861244063416,0.6376917146573157,0.8653967564359435,1.2661870538222864,W3,Adjusted
R_DEPRESYes,2.0145483699043365,0.11717468190936434,0.1194893819165159,5.861567153504005,4.585189718643294e-9,1.5939259935333934,2.5461691139672067,W3,Adjusted
BMI_CV_W4,1.0390587519628467,0.015122763366438077,0.015235148564214056,2.514925076092065,0.011905768237623907,1.0084907584156204,1.0705532807526679,W4,Adjusted
BASELINE_AGE,1.1185092082558514,0.012143155765395387,0.01162016736474606,9.638134381512083,5.518170426031465e-22,1.093322937247729,1.144275681348539,W4,Adjusted
RAGENDERFemale,0.8876225421745481,0.11212587055342244,0.11280316266320994,-1.0567850108105559,0.2906097166849511,0.7115576578959018,1.1072521933165258,W4,Adjusted
RACE_ETH3Non-Hispanic Black,2.137259767474201,0.13500349325835145,0.13638362732003187,5.569030102452003,2.5616123213136414e-8,1.635939943899145,2.792204769312414,W4,Adjusted
RACE_ETH3Hispanic or Other,1.1034275498410606,0.18209221147181429,0.18070451126642326,0.5446531964838635,0.5859920604753626,0.7743331712143143,1.5723882212599425,W4,Adjusted
RAEDUCGED,0.7238300795386476,0.2253868328651374,0.23108221000333024,-1.3986304307336488,0.1619238360466068,0.4601920300468009,1.138502950587045,W4,Adjusted
RAEDUCHigh school graduate,0.536552433094161,0.13995227711738592,0.13987336205067397,-4.451104776419791,8.542964422691104e-6,0.4078981606709244,0.7057852699941957,W4,Adjusted
RAEDUCCollege or above,0.4521540160033337,0.1385509474666093,0.13917739609520288,-5.703026756418061,1.1769849850329522e-8,0.34420595387732433,0.5939561820037748,W4,Adjusted
LN_WEALTH,0.9637625829295029,0.009074905372115827,0.008072064854583916,-4.5725968060682805,4.817165421939806e-6,0.948634919718911,0.9791314835112438,W4,Adjusted
CHRONIC_N,1.0242579338512823,0.04417816808462417,0.04648252030620469,0.5156429399154351,0.6061038139045962,0.9350683205224583,1.1219547192777564,W4,Adjusted
HAS_INSHas insurance,0.5317040402152801,0.36481036825211566,0.35694825419992826,-1.7696353810217067,0.07678790088164497,0.2641405364593885,1.0702983728690902,W4,Adjusted
EMP_STATUSUnemployed/Not in labor force,3.4416621889160797,0.4286921505803617,0.4223145048857782,2.92662111965842,0.0034266604884939443,1.5041580845492957,7.874862851376325,W4,Adjusted
