term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,wave,model
BMIV_CAT_W3Medium variability,1.1340998784457692,0.1171146696785782,0.1154252016470106,1.0902235894960894,0.2756146645498539,0.9044846359934551,1.4220059502481315,W3,Categorical
BMIV_CAT_W3High variability,1.3631324817204797,0.14120084507218375,0.14146435648944408,2.1898473530685676,0.02853530919795425,1.0330548668338067,1.7986751937158842,W3,Categorical
BASELINE_AGE,1.114035370282163,0.010982038919183715,0.010462044255550204,10.321968543182324,5.606176678224521e-25,1.0914244323403732,1.1371147369116916,W3,Categorical
RAGENDERFemale,0.8480256511185578,0.10182512391757866,0.1021877589953615,-1.6131520674080324,0.1067114741830942,0.6941072982622584,1.0360754119074749,W3,Categorical
RACE_ETH3Non-Hispanic Black,2.1064323462307963,0.12322562406580266,0.1230674522547918,6.053555766369157,1.4168299207367046e-9,1.654978323501143,2.6810364620732225,W3,Categorical
RACE_ETH3Hispanic or Other,1.2380844679114444,0.15322117449806763,0.15471664230678706,1.3803647628426552,0.1674743638650743,0.9142294995339991,1.676661221788282,W3,Categorical
RAEDUCGED,0.6738216670714143,0.21335376639011963,0.2175894733256356,-1.8143790963804654,0.06961938172148889,0.4398782375854476,1.032184818933449,W3,Categorical
RAEDUCHigh school graduate,0.566211760360717,0.12499338976481185,0.12544876329075494,-4.534019474697832,5.787168971723167e-6,0.4427888789323361,0.7240375104808655,W3,Categorical
RAEDUCCollege or above,0.44621960902613095,0.12619844846048991,0.12693405048194376,-6.357191377461535,2.054759387210067e-10,0.34793826353295676,0.5722622670402943,W3,Categorical
LN_WEALTH,0.9624450702664659,0.008054545538060018,0.007359052413534965,-5.201523531937865,1.9766143895695634e-7,0.9486628976288979,0.9764274702799399,W3,Categorical
CHRONIC_N,1.0238321505840988,0.04040495033791569,0.04154997228520839,0.5668499024457784,0.5708161631886911,0.9437595573270214,1.1106984447802932,W3,Categorical
HAS_INSHas insurance,0.494664881025985,0.31193683882366263,0.3092003804679715,-2.2764356002727872,0.022819950959291846,0.269848021056614,0.9067820603698824,W3,Categorical
EMP_STATUSUnemployed/Not in labor force,2.3678401887973393,0.3460659238803049,0.3400592976154381,2.534788000062783,0.011251539600253041,1.2158874855971424,4.611172683408525,W3,Categorical
EMP_STATUSRetired,2.052334666569059,0.27702321420557446,0.27496895155287504,2.614760695052449,0.008928999088650457,1.1972757468139723,3.5180513718829935,W3,Categorical
EMP_STATUSDisabled,4.021548284629493,0.46975910639705576,0.48679839428508437,2.8588158676149726,0.004252255299921513,1.5489226943538652,10.441354280984916,W3,Categorical
SMOKESTATUSEver/Current smoker,1.0423959327675223,0.09745290987370049,0.09694218528845779,0.4283155460238625,0.6684214021170622,0.862016086445015,1.2605208855572587,W3,Categorical
R_DEPRESYes,2.018407421113905,0.1171366391418535,0.11919064558490555,5.892314716666993,3.808229934086757e-9,1.5979146292653585,2.549553300904875,W3,Categorical
BMIV_CAT_W4Medium variability,1.2236622574835223,0.12102573465603678,0.11928734933994219,1.692117510380622,0.09062357042259797,0.968554334570254,1.545963160708007,W4,Categorical
BMIV_CAT_W4High variability,1.6388491350211325,0.14122099084440026,0.1436190691006673,3.4396146114265758,5.825430695307605e-4,1.236773590615313,2.171639585239911,W4,Categorical
BASELINE_AGE,1.1210616850053248,0.012146034702667266,0.01154644730378325,9.897084907253905,4.285854547424909e-23,1.0959762827640658,1.1467212578883232,W4,Categorical
RAGENDERFemale,0.8779414623446502,0.11232924964837633,0.11280910625098346,-1.153943715051562,0.2485232453225844,0.7037886756363851,1.0951884251432453,W4,Categorical
RACE_ETH3Non-Hispanic Black,2.163293269814843,0.13484262956904458,0.13544450855352508,5.697032170377584,1.2191093087594431e-8,1.658917637096674,2.8210187573968595,W4,Categorical
RACE_ETH3Hispanic or Other,1.1015892507289278,0.18196562382153217,0.18067644913297473,0.5355092541261246,0.5922977601673135,0.7730856591387196,1.569682302312343,W4,Categorical
RAEDUCGED,0.7226450578593715,0.22518307274299892,0.22980303670163427,-1.4135457550355672,0.15749531799358427,0.46059194376124096,1.1337929087167833,W4,Categorical
RAEDUCHigh school graduate,0.5333353744458904,0.1395902273036917,0.1394601197302678,-4.507416410938468,6.562176940502807e-6,0.4057810119648903,0.700985539609107,W4,Categorical
RAEDUCCollege or above,0.44642399065084315,0.1381925191914024,0.1390120001226998,-5.801557607615556,6.570171623698476e-9,0.3399541101864451,0.5862390642058208,W4,Categorical
LN_WEALTH,0.9649741076338019,0.0091090574483804,0.008114055937923425,-4.394104470496036,1.1123031928705228e-5,0.9497492592302821,0.9804430162528548,W4,Categorical
CHRONIC_N,1.0193611618585114,0.044216282017116665,0.04624123721440868,0.41469736392675605,0.6783634623486029,0.9310381357902411,1.11606296064723,W4,Categorical
HAS_INSHas insurance,0.5438977870090117,0.36437575225412205,0.3599530141409343,-1.691870653621276,0.09067063849543272,0.2686115795264454,1.1013106852460757,W4,Categorical
EMP_STATUSUnemployed/Not in labor force,3.4691193700855636,0.42881175615207723,0.42312514640822385,2.939794026595368,0.0032843049409990036,1.5137510809914618,7.950309238438612,W4,Categorical
EMP_STATUSRetired,2.7572153429473296,0.361822752907636,0.3602828264692255,2.815069612497138,0.0048766669096339,1.3608096759628001,5.586553786079913,W4,Categorical
EMP_STATUSDisabled,6.885215318948476,0.5478884114791331,0.5711088144575893,3.3782991200282817,7.293569827217348e-4,2.2479612576292065,21.088526249015207,W4,Categorical
SMOKESTATUSEver/Current smoker,1.0396481617957563,0.10698060910241411,0.10696572945901313,0.3635028727980416,0.7162292672987401,0.8430182879114684,1.2821409877158025,W4,Categorical
R_DEPRESYes,1.958914682008916,0.1307276637063206,0.13169590254901625,5.105630267852408,3.2969376950077143e-7,1.5132677119521567,2.535801630525646,W4,Categorical
BMIV_CAT_W5Medium variability,1.123169785482396,0.1366248232662037,0.137109879291594,0.8471661862596674,0.3969024979412331,0.8584940135685337,1.4694457353019914,W5,Categorical
BMIV_CAT_W5High variability,1.6660794725099182,0.15455258911388886,0.1558458712399826,3.2755006028221394,0.0010547488925613554,1.227550782403488,2.261267597650012,W5,Categorical
BASELINE_AGE,1.1321380515276076,0.013620294477868576,0.013068408481368188,9.49678961814583,2.1646078049124507e-21,1.1035081320725455,1.1615107587013827,W5,Categorical
RAGENDERFemale,0.9439249732387519,0.1271195018935617,0.12749385024037208,-0.45263825186595924,0.6508092497019984,0.7352152627065716,1.2118822884929408,W5,Categorical
RACE_ETH3Non-Hispanic Black,2.080155600527042,0.1585695716309906,0.15788513316843594,4.6390859238124476,3.499535449248911e-6,1.5265244104012679,2.834574601572597,W5,Categorical
RACE_ETH3Hispanic or Other,1.2179388430512705,0.20498918389856788,0.20407188610442192,0.9661299301495143,0.3339791694893237,0.8164304180730999,1.8169031831445699,W5,Categorical
RAEDUCGED,0.8789276221078436,0.25358190267638986,0.2597018786788039,-0.49692642393638903,0.6192409369727578,0.5283168636170822,1.46221674548715,W5,Categorical
RAEDUCHigh school graduate,0.5977666903181164,0.16966733817282342,0.16747295574256052,-3.072464738249949,0.0021229891412113135,0.4305052703617622,0.830013104726006,W5,Categorical
RAEDUCCollege or above,0.5769606074560262,0.16255387907680283,0.16213385903936284,-3.3921433152209035,6.934815716145463e-4,0.41989197192004724,0.7927837749167826,W5,Categorical
LN_WEALTH,0.964312655711155,0.010637873648557592,0.009358711074350368,-3.8829818568449053,1.0318326987591917e-4,0.9467857596572687,0.9821640096290832,W5,Categorical
CHRONIC_N,0.9899581583430812,0.05064957078616691,0.05422512395887944,-0.18612407514704127,0.8523474625425302,0.8901441250899721,1.1009645827533479,W5,Categorical
HAS_INSHas insurance,0.38937989487498453,0.3675431158464143,0.3644672017207614,-2.5878866848890523,0.009656674173324288,0.19060683893290029,0.7954420910690823,W5,Categorical
EMP_STATUSUnemployed/Not in labor force,4.311800954361989,0.5811131573651587,0.5750507015287103,2.5412640447079653,0.01104524704759694,1.3969300499427246,13.308917988269515,W5,Categorical
EMP_STATUSRetired,4.102186529736565,0.5072947366796479,0.5094289745837017,2.770788867369807,0.005592067365824862,1.511432215868239,11.133767130327675,W5,Categorical
EMP_STATUSDisabled,10.062744744140469,0.7169972436004747,0.756425255826826,3.05230417290103,0.002270918523917115,2.2847890633003227,44.31867843391227,W5,Categorical
SMOKESTATUSEver/Current smoker,1.0695560782710094,0.12043811136235043,0.11998308093577542,0.5604430369869279,0.5751772833946396,0.8454224505104329,1.3531107482132623,W5,Categorical
R_DEPRESYes,1.9817669272271294,0.15164595937172076,0.1537785363322833,4.447882328493157,8.672101208594058e-6,1.4660745303773828,2.6788543641367983,W5,Categorical
BMIV_CAT_W6Medium variability,1.3470077627016126,0.15279949105766155,0.1539779034563846,1.9346000541688821,0.05303939338383127,0.9961021316652959,1.8215299968739325,W6,Categorical
BMIV_CAT_W6High variability,1.4429430883908014,0.18932921286480292,0.19173585908063404,1.9124478904863709,0.05581877034713149,0.990930836102419,2.1011403424724864,W6,Categorical
BASELINE_AGE,1.1352037037097262,0.01622698135792394,0.015911353490302364,7.969913404358087,1.5878559241358298e-15,1.1003479298740506,1.1711636055550059,W6,Categorical
RAGENDERFemale,0.9189465452343836,0.14901300649810956,0.1482445973507418,-0.5701882298513048,0.5685500383038022,0.6872333382918522,1.2287860700954312,W6,Categorical
RACE_ETH3Non-Hispanic Black,2.1005554003902938,0.19438309257730993,0.1968529951702342,3.77033524684832,1.6302839899899675e-4,1.4281458654229424,3.089553453142634,W6,Categorical
RACE_ETH3Hispanic or Other,1.2557732981006564,0.2520107462013581,0.2556469292677789,0.8908832085890187,0.3729918293834183,0.7608590025102854,2.072613415915102,W6,Categorical
RAEDUCGED,1.1210635887610243,0.30350900774507317,0.30607017017116467,0.3733714639667331,0.7088719948612513,0.6153225711387058,2.0424792279600017,W6,Categorical
RAEDUCHigh school graduate,0.7476556074701461,0.21273546738164392,0.21316142976242314,-1.364284454168244,0.1724780567046448,0.4923322182184542,1.1353896549860212,W6,Categorical
RAEDUCCollege or above,0.7296824194642348,0.2059440967989393,0.20852584358270848,-1.5113037113918653,0.13071108880561755,0.4848823355482128,1.098073479359073,W6,Categorical
LN_WEALTH,0.9744650568741527,0.013600547715410352,0.011315134736021446,-2.2860194573699135,0.02225312028377554,0.9530919695052893,0.9963174357262025,W6,Categorical
CHRONIC_N,0.9543583447490706,0.060518677569273836,0.06618047770031915,-0.705888749360673,0.4802573246315296,0.8382596283855382,1.0865366997887727,W6,Categorical
HAS_INSHas insurance,0.3448987432294539,0.4586398322029112,0.4656463339137662,-2.2860792094467324,0.022249625044556923,0.1384626801702417,0.8591133938401297,W6,Categorical
