model,.metric,mean,std_err,n
Random forest,brier_class,0.027123052834089924,0.0021619190191031,10
LASSO logistic regression,brier_class,0.027166827917225828,0.00215124606738209,10
Logistic regression,brier_class,0.02732295814167787,0.0021510980829110155,10
Null model,brier_class,0.027446595451271275,0.002216967710642505,10
Logistic regression,pr_auc,0.08081915772938911,0.01239176625871035,10
LASSO logistic regression,pr_auc,0.07655564225103773,0.010499153681012431,10
Random forest,pr_auc,0.06923175210807747,0.010481660590417443,10
Null model,pr_auc,0.02823199023199023,0.0023491486376135437,10
LASSO logistic regression,roc_auc,0.7526326793077123,0.0288550383336714,10
Logistic regression,roc_auc,0.750105486108552,0.030349003800238007,10
Random forest,roc_auc,0.7200928171541265,0.02242450883603562,10
Null model,roc_auc,0.5,0,10
