feature,importance
BASELINE_AGE,3.9573887559917885e-4
LN_WEALTH,3.081226200741436e-4
RAEDUC_High.school.graduate,2.9647533522970693e-4
RAEDUC_College.or.above,2.928493190410684e-4
RAGENDER_Female,2.845579901778663e-4
RACE_ETH3_Hispanic.or.Other,1.0516003711692057e-4
EMP_STATUS_Retired,6.725120937483741e-5
RACE_ETH3_Non.Hispanic.Black,5.945274503801201e-5
R_DEPRES_Yes,5.497486680660546e-5
HAS_INS_Has.insurance,4.484922304083283e-5
EMP_STATUS_Unemployed.Not.in.labor.force,2.8911034570259454e-5
SMOKESTATUS_Ever.Current.smoker,2.5260231732938677e-5
CHRONIC_N,1.7380699617641993e-5
RAEDUC_GED,1.3254764822419051e-5
BMI_CV_W3,-5.20189538183744e-5
EMP_STATUS_Disabled,-5.949258584943595e-5
