variable,importance,label
BASELINE_AGE,0.057122233177526384,Age at Baseline
RACE_ETH3,0.010728187099638565,Race/Ethnicity
BMI_CV_W6,0.003854128993134727,BMI Variability (CV%)
RAEDUC,0.0027681896948621556,Education
SMOKESTATUS,4.604318031434518e-4,Smoking Status
R_DEPRES,-1.3597270260498506e-4,Depression
HAS_INS,-2.1621194901059516e-4,Insurance Status
CHRONIC_N,-5.802983900429304e-4,Chronic Conditions
LN_WEALTH,-0.0011247742107046742,Log Wealth
RAGENDER,-0.0028656839453846884,Sex
EMP_STATUS,-0.00410788475744194,Employment Status
