**Characteristic**,"**Overall**  
N = 5,993","**Low (≤3.9%)**  
N = 4,078","**Mid (>3.9% to ≤6.5%)**  
N = 1,191","**High (>6.5%)**  
N = 724",**p-value**
__Age at baseline__,59.47 (4.44),59.67 (4.38),59.22 (4.59),58.79 (4.42),<0.001
__Baseline BMI__,27.26 (4.94),26.91 (4.69),27.73 (4.94),28.44 (5.98),<0.001
__Sex__,NA,NA,NA,NA,<0.001
Male,"2,565 (43%)","1,921 (47%)",437 (37%),207 (29%),NA
Female,"3,428 (57%)","2,157 (53%)",754 (63%),517 (71%),NA
__Race/ethnicity__,NA,NA,NA,NA,0.2
Non-Hispanic White,"4,930 (82%)","3,382 (83%)",976 (82%),572 (79%),NA
Non-Hispanic Black,595 (9.9%),388 (9.5%),122 (10%),85 (12%),NA
Hispanic or Other,468 (7.8%),308 (7.6%),93 (7.8%),67 (9.3%),NA
__Education__,NA,NA,NA,NA,0.027
Less than high school,902 (15%),573 (14%),199 (17%),130 (18%),NA
GED,280 (4.7%),192 (4.7%),47 (3.9%),41 (5.7%),NA
High school graduate,"2,102 (35%)","1,438 (35%)",422 (35%),242 (33%),NA
College or above,"2,709 (45%)","1,875 (46%)",523 (44%),311 (43%),NA
__Log household wealth__,11.98 (3.83),12.21 (3.52),11.59 (4.47),11.34 (4.26),<0.001
__Number of chronic conditions__,NA,NA,NA,NA,<0.001
0,"2,746 (46%)","1,985 (49%)",494 (41%),267 (37%),NA
1,"2,151 (36%)","1,431 (35%)",445 (37%),275 (38%),NA
≥2,"1,096 (18%)",662 (16%),252 (21%),182 (25%),NA
__Insurance status__,NA,NA,NA,NA,<0.001
No insurance,517 (8.6%),312 (7.7%),104 (8.8%),101 (14%),NA
Has insurance,"5,460 (91%)","3,755 (92%)","1,083 (91%)",622 (86%),NA
__Employment status__,NA,NA,NA,NA,<0.001
Employed (FT/PT),"3,236 (54%)","2,227 (55%)",637 (53%),372 (51%),NA
Unemployed/Not in labor force,632 (11%),405 (9.9%),143 (12%),84 (12%),NA
Retired,"1,981 (33%)","1,376 (34%)",369 (31%),236 (33%),NA
Disabled,144 (2.4%),70 (1.7%),42 (3.5%),32 (4.4%),NA
__Smoking status__,NA,NA,NA,NA,0.2
Never smoker,"2,364 (39%)","1,641 (40%)",455 (38%),268 (37%),NA
Ever/Current smoker,"3,626 (61%)","2,434 (60%)",736 (62%),456 (63%),NA
__Depression__,586 (10%),336 (8.4%),149 (13%),101 (15%),<0.001
